ENTE_SEGN,VOCESOTVOC,CLASSE_UTI,SETCON,DATA_OSSER,VALORE,STATUS,UNIT OF MEASUREMENT,SCALE
3691030,35120163,1004,1,31/3/2013,0.037,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,1,30/6/2012,0.047,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,1,30/9/2011,0.047,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,1,30/6/2011,0.048,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,1,31/12/2009,0.096,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,1,30/9/2009,0.045,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,1,30/9/2008,0.129,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,1,31/12/2007,0.075,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,1,31/12/2006,0.074,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,1,30/6/2005,0.074,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,1,31/12/2004,0.071,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,1,31/3/2004,0.073,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,1,30/6/2003,0.076,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,1,31/3/2003,0.07,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,1,31/12/2002,0.073,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,1,30/6/2002,0.16,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,1,31/12/2000,0.084,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,1,30/6/2000,0.088,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
3691030,35120163,1004,1,31/3/2000,0.082,,PURE NUMBERS,PERCENTAGE/HUNDREDTHS
